Símbolo,Fecha entrada,Precio entrada,Tamaño,Fee entrada (€),Fecha salida,Precio salida,Fee salida (€),PnL bruto (€),PnL neto (€)
XRPUSDT,2019-06-16 12:00:00,0.41546,1523.197,0.0,2019-06-27 08:00:00,0.43659,0.27,32.19,31.92
XRPUSDT,2019-11-05 04:00:00,0.3011,2111.689,0.0,2019-11-07 12:00:00,0.2879,0.24,-27.87,-28.12
XRPUSDT,2021-10-09 16:00:00,1.1533,549.047,0.0,2021-10-12 04:00:00,1.094,0.24,-32.56,-32.8
XRPUSDT,2023-04-11 12:00:00,0.52,1211.621,0.0,2023-04-12 04:00:00,0.508,0.25,-14.54,-14.79
XRPUSDT,2024-03-25 20:00:00,0.6553,959.415,0.0,2024-03-27 08:00:00,0.6203,0.24,-33.58,-33.82
XRPUSDT,2024-09-28 12:00:00,0.617,1352.251,0.0,2024-10-02 00:00:00,0.5968,0.32,-27.32,-27.64
XRPUSDT,2025-09-18 04:00:00,3.105,267.556,0.0,2025-09-19 12:00:00,3.0305,0.32,-19.93,-20.26
